sID	Dimensions	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Duration (sek)
4638	2D	Small	right	selection	2	1	38	2	99
4650	2D	Small	right	selection	1	1	27	1	67
4686	2D	Small	right	selection	2	1	30	1	63
4702	2D	Small	right	selection	2	1	32	1	184
4706	2D	Small	right	selection	2	1	59	1	99
4723	2D	Small	right	selection	2	1	23	1	117
4727	2D	Small	right	selection	2	1	43	2	486
4746	2D	Small	right	selection	1	1	53	2	263
4764	2D	Small	right	selection	1	1	24	2	69
4785	2D	Small	right	selection	1	1	26	1	82
4810	2D	Small	right	selection	2	1	34	2	134
4824	2D	Small	right	selection	2	1	26	2	159
4835	2D	Small	right	selection	1	1	19	2	173
4857	2D	Small	right	selection	2	1	20	2	80
4858	2D	Small	right	selection	2	1	25	2	136
4866	2D	Small	right	selection	1	1	23	2	107
3980	2D	X_sym	left	selection	2	1	31	2	95
4004	2D	X_sym	left	selection	1	1	25	1	163
4018	2D	X_sym	left	selection	2	1	34	2	111
4035	2D	X_sym	left	selection	2	1	22	2	76
4036	2D	X_sym	left	selection	1	1	20	2	58
4046	2D	X_sym	left	selection	2	1	55	2	275
4076	2D	X_sym	left	selection	2	1	25	2	67
4090	2D	X_sym	left	selection	1	1	38	1	176
4093	2D	X_sym	left	selection	2	1	36	2	101
4117	2D	X_sym	left	selection	1	1	36	2	94
4128	2D	X_sym	left	selection	1	1	52	2	165
4135	2D	X_sym	left	selection	1	1	30	2	98
4156	2D	X_sym	left	selection	2	1	48	1	112
4170	2D	X_sym	left	selection	1	1	22	2	88
4181	2D	X_sym	left	selection	2	1	36	2	106
4210	2D	X_sym	left	selection	2	1	40	2	64
4224	2D	X_sym	left	selection	1	1	46	2	169
4249	2D	X_sym	left	selection	1	1	29	1	74
4257	2D	X_sym	left	selection	1	1	24	1	422
4267	2D	X_sym	left	selection	1	1	36	1	192
4271	2D	X_sym	left	selection	2	1	39	1	113
4295	2D	X_sym	left	selection	2	1	28	1	68
4308	2D	X_sym	left	selection	2	1	27	2	154
4332	2D	X_sym	left	selection	2	1	29	1	79
4347	2D	X_sym	left	selection	2	1	22	1	200
4352	2D	X_sym	left	selection	2	1	23	2	70
4365	2D	X_sym	left	selection	1	1	21	1	94
4386	2D	X_sym	left	selection	1	1	36	1	174
4400	2D	X_sym	left	selection	1	1	43	2	193
4419	2D	X_sym	left	selection	1	1	33	1	151
4434	2D	X_sym	left	selection	2	1	48	1	181
4438	2D	X_sym	left	selection	2	1	38	1	197
4452	2D	X_sym	left	selection	2	1	22	1	67
4462	2D	X_sym	left	selection	1	1	29	2	636
4468	2D	X_sym	left	selection	2	1	65	2	143
4472	2D	X_sym	left	selection	2	1	28	2	231
4499	2D	X_sym	left	selection	1	1	30	1	182
4532	2D	X_sym	left	selection	1	1	24	1	103
4535	2D	X_sym	left	selection	2	1	29	1	106
4551	2D	X_sym	left	selection	1	1	25	1	181
4565	2D	X_sym	left	selection	2	1	26	2	89
4590	2D	X_sym	left	selection	2	1	51	2	142
4601	2D	X_sym	left	selection	2	1	23	2	74
4613	2D	X_sym	left	selection	2	1	22	1	446
4618	2D	X_sym	left	selection	1	1	22	2	89
4623	2D	X_sym	left	selection	1	1	30	1	93
4647	2D	X_sym	left	selection	2	1	35	1	68
4672	2D	X_sym	left	selection	2	1	62	1	274
4688	2D	X_sym	left	selection	1	1	34	1	138
4694	2D	X_sym	left	selection	2	1	38	2	132
4713	2D	X_sym	left	selection	2	1	31	1	92
4729	2D	X_sym	left	selection	1	1	30	2	226
4738	2D	X_sym	left	selection	2	1	18	2	89
4751	2D	X_sym	left	selection	1	1	31	2	131
4773	2D	X_sym	left	selection	2	1	40	1	115
